Фамилия	Имя	Отчество	Дата рождения	Серия и номер паспорта
Сизый	Михаил	Игнатьевич	25.09.1987	4820 711989
Краснобаева	Анжела	Семеновна	16.03.1971	4510 961843
Митькин	Макар	Феоктистович	11.08.1983	4639 874216
Гаголина	Оксана	Елизаровна	22.03.1978	4737 314836
Суворина	Полина	Ивановна	01.07.1969	4745 404040
Хромченко	Варвара	Григорьевна	20.10.1989	4653 583523
Керимбаева	Алена	Павловна	05.12.1961	4715 524331
Янкилович	Римма	Давидовна	16.02.1968	4728 715494
Суслов	Валентин	Витальевич	04.06.1973	4567 459226
Рудин	Сергей	Саввеевич	02.10.1982	4371 812159
Берёзкина	Клавдия	Ефимовна	22.05.1992	4330 812391
Левина	Пелагея	Константиновна	20.12.1980	4327 538972
Сиянина	Анжела	Федоровна	12.03.1964	4523 801785
Чечёткина	Елена	Феоктистовна	21.01.1961	4159 523945
Осинцева	Марина	Порфнрьевна	07.12.1995	4790 680902
Богоносцева	Инна	Кирилловна	10.04.1971	4816 976282
Караев	Кирилл	Севастьянович	25.04.1994	4132 360700
Андропов	Леонтий	Афанасьевич	15.08.1975	4128 988750
Ярошевич	Юлия	Константиновна	27.01.1963	4490 479811
Клемент	Павел	Климентьевич	22.06.1978	4917 160440
Сиянковская	Марианна	Степановна	09.07.1988	4026 559584
Фонвизина	Нонна	Тарасовна	06.02.1965	4220 479605
Шаталова	Любовь	Витальевна	22.03.1970	4543 829940
Брязгина	Серафима	Георгьевна	09.06.1991	4945 782977
Пичушкина	Екатерина	Наумовна	12.08.1989	4828 677210
Логутенко	Денис	Константинович	14.06.1971	4166 499648
Аничкова	Серафима	Ильишна	19.09.1984	4762 623461
Махнер	Семен	Захарович	26.01.1963	4347 372426
Ермолаева	Рада	Семеновна	15.05.1978	4594 446667
Кочинян	Валерий	Гаврннлович	14.04.1968	4065 982351
Поджио	Маргарита	Георгьевна	09.07.1992	4343 294718
Сурикова	Любовь	Филипповна	03.11.1984	4613 943709
Калашников	Леонтий	Савванович	20.10.1965	4769 420166
Норина	Анжела	Феоктистовна	01.11.1961	4719 512010
Мышкина	Анастасия	Венедиктовна	19.05.1988	4543 592534
Рейслера	Марина	Васильевна	19.09.1963	4266 958506
Сигачёва	Ксения	Герасимовна	01.06.1961	4769 912942
Счастливцев	Трофим	Давидович	12.05.1977	4166 281229
Бояринова	Карина	Якововна	22.07.1993	4642 437044
Балановская	Арина	Гермоновна	13.05.1972	4546 660100
Ельцин	Тимофей	Геннадьевич	18.04.1988	4456 462268
Никулин	Тимофей	Павлович	23.08.1983	4983 863360
Захарова	Евгения	Арсеньевна	11.04.1962	4437 691446
Васина	Маргарита	Витальевна	01.12.1960	4581 848859
Нагиева	Клавдия	Степановна	13.08.1969	4034 306008
Полтанова	Антонина	Лукьяновна	18.05.1979	4351 544643
Кондрат	Клавдия	Федотовна	21.08.1994	4167 417051
Мамыкина	Валентина	Ильишна	14.09.1994	4459 988619
Шилов	Георгий	Антонрвич	05.11.1961	4775 905566
Руснак	Александр	Власович	03.06.1983	4494 379511
Собчак	Савва	Аркадинович	13.02.1973	4230 320105
Кубланова	Анастасия	Романовна	03.10.1983	4430 961960
Фарест	Егор	Наумович	13.12.1980	4536 802859
Богданова	Пелагея	Аркадивна	01.03.1974	4017 322691
Аглеев	Антон	Трофимович	22.01.1963	4297 530125
Цыгвинцев	Герман	Кириллович	21.06.1978	4716 206906
Абумайлова	Ника	Никифоровна	22.05.1990	4378 784027
Икрамова	Анна	Леонтьевна	09.12.1992	4234 880867
Акчурин	Кирилл	Никандрович	26.01.1964	4992 842040
Левкович	Степан	Семенович	18.06.1985	4518 326515
Бобров	Валентин	Петрович	18.02.1973	4815 641131
Фоменков	Константин	Степанович	22.09.1970	4580 724849
Бакаринцев	Константин	Константинович	21.04.1989	4810 207767
Сергеевич	Альбина	Игнатьевна	06.04.1964	4840 902693
Цвиленев	Евгений	Ефремович	21.05.1960	4539 240537
Борева	Марина	Романовна	20.06.1993	4139 285164
Геремеш	Афанасия	Лльвона	01.09.1961	4016 587102
Панюшкин	Максим	Валентинович	10.03.1961	4492 161400
Унгерн	Емельян	Ильич	24.12.1978	4078 822127
Кручинкина	Кира	Герасимовна	01.04.1989	4752 593128
Эйлера	Карина	Викторовна	10.03.1989	4885 339417
Трындин	Петр	Панкратович	08.02.1992	4117 986744
Бондарчука	Ольга	Семеновна	16.07.1980	4958 477951
Бубнова	Ева	Павловна	25.05.1991	4670 788246
Геремеш	Зоя	Герасимовна	27.08.1970	4081 407264
Яфарова	Мария	Ипполитовна	01.01.1975	4556 817132
Гаголин	Адам	Семенович	27.07.1965	4428 921565
Мальцова	Клара	Павловна	25.08.1994	4312 230216
Хермана	Алина	Никитьевна	04.02.1976	4066 720770
Шихранов	Семен	Александрович	06.04.1975	4745 154179
Гладков	Прохор	Давидович	12.12.1990	4269 489378
Дябина	Александра	Давидовна	04.02.1983	4172 172404
Бабанина	Карина	Филипповна	03.01.1978	4672 106280
Курпатов	Вениамин	Давидович	20.09.1965	4518 623458
Алешин	Георгий	Яковлевич	26.05.1960	4937 362877
Казакевича	Настасья	Максимовна	16.09.1978	4769 755772
Сорокин	Венедикт	Нифонтович	19.04.1966	4368 831173
Яковченко	Прохор	Юлианович	03.08.1990	4298 705870
Ягодина	Ольга	Ростиславовна	10.05.1970	4741 251628
Канадцев	Кирилл	Павлович	17.10.1979	4470 805003
Козарь	Ульяна	Леонидовна	14.09.1995	4661 540023
Чернышева	Лана	Яковна	05.07.1990	4299 780936
Янкелевича	Римма	Игнатьевна	24.12.1994	4383 478864
Шамило	Евгений	Валерьевич	19.12.1987	4114 153488
Салтыкова	Елена	Семеновна	28.01.1995	4232 992276
Калошина	Наталия	Ипполитовна	07.02.1961	4350 346314
Журавлёва	Ульяна	Евгеньевна	26.10.1989	4797 422155
Солодская	Ника	Никифоровна	20.03.1970	4762 756103
Рейслер	Инна	Давидович	07.08.1981	4279 767805
Сергеева	Раиса	Романовна	18.03.1972	4968 861387
Маховицкий	Ефим	Савванович	10.06.1990	4263 891533
Ящук	Елена	Вячеславовна	07.02.1972	4277 246316
Вырыпаев	Трофим	Трофимович	23.01.1967	4834 586348
Шигаев	Вячеслав	Лаврентиич	16.01.1971	4672 104421
Хрущёв	Филипп	Наумович	02.08.1964	4547 160366
Ишеева	Виктория	Тимофеевна	10.01.1977	4142 139150
Чуличков	Антон	Ильич	21.09.1977	4621 601610
Юрнаева	Зоя	Давидовна	08.05.1993	4819 602410
Форофонтова	Евгения	Валерьевна	18.02.1989	4737 776879
Комолова	Лариса	Панкратовна	04.01.1995	4035 403086
Казак	Федот	Трофимович	16.06.1991	4663 123995
Левкина	Клавдия	Степановна	01.04.1964	4399 407669
Ямских	Прохор	Федорович	19.12.1966	4184 691705
Волобуева	Светлана	Трофимовна	07.08.1980	4483 176540
Капылюшный	Алексей	Трофимович	09.02.1962	4416 554112
Трибой	Марьямна	Наумовна	13.03.1980	4180 613210
Лукашевич	Евгения	Саввановна	20.10.1993	4884 851724
Курбанова	Сюзанна	Саввановна	10.01.1983	4128 402007
Мисалов	Семен	Иванович	12.09.1981	4385 338147
Павленко	Александра	Васильевна	05.12.1974	4344 499797
Бобриков	Игнатий	Герасимович	07.12.1968	4452 576033
Шаньгина	Римма	Феоктистовна	05.10.1966	4934 819608
Клюкин	Игнат	Валентинович	17.05.1972	4439 382465
Овечкина	Зинаида	Леонтьевна	20.02.1976	4728 328707
Саввина	Альбина	Евгеньевна	12.12.1995	4446 714380
Мирсиянова	Ася	Прокопьевна	08.02.1979	4012 154800
Полыгалова	Алена	Ростиславовна	14.01.1973	4733 964234
Митяшова	Татьяна	Афанасьевна	06.05.1977	4464 538007
Кузинова	Рада	Игнатьевна	03.12.1991	4663 857599
Пивоваров	Виталий	Васильевич	01.04.1962	4625 661037
Эсмонд	Марьямна	Гермоновна	17.09.1996	4534 649797
Палюлина	Рада	Федотовна	14.11.1981	4793 212233
Энгалычев	Марк	Герасимович	28.04.1982	4874 597036
Ольховский	Аркадий	Кириллович	01.07.1982	4686 721357
Снегирева	Александра	Георгьевна	06.03.1984	4556 833304
Тредиаковская	Кира	Георгьевна	10.10.1964	4468 821302
Уваров	Юлиан	Аркадинович	25.11.1966	4556 353824
Александрович	Марфа	Яковна	26.08.1963	4618 150461
Кац	Артем	Савванович	21.08.1964	4992 444624
Целобанов	Прохор	Никифорович	08.09.1986	4998 251671
Гущина	Таисия	Елизаровна	17.09.1991	4776 134817
Никонов	Лаврентий	Власович	12.02.1977	4429 186722
Тютчев	Трофим	Максимоич	28.05.1980	4293 339371
Убейсобакин	Савва	Геннадьевич	09.12.1978	4624 129453
Баева	Клавдия	Прохоровна	23.04.1991	4265 974566
Игошев	Федот	Леонтьевич	24.08.1995	4957 993439
Беспалов	Сергей	Васильевич	14.10.1963	4364 128783
Едемская	Алиса	Евгеньевна	26.11.1981	4170 362245
Ясаманов	Федот	Вячеславович	20.11.1982	4245 783138
Дрягина	Клара	Аркадьевна	24.12.1962	4317 581571
Тальдаева	Раиса	Григорьевна	07.05.1981	4870 872417
Дворянкин	Арсений	Максимович	11.05.1964	4175 526705
Кудайбергенов	Герасим	Яковеевичевич	15.07.1986	4711 817076
Аронова	Василиса	Прокловна	06.10.1990	4912 785780
Одинцов	Яков	Леонтьевич	08.07.1985	4493 489365
Корбылева	Сюзанна	Валерьевна	25.06.1971	4771 688934
Богоносцев	Павел	Севастьянович	10.01.1963	4820 167273
Гареева	Ася	Адамовна	18.11.1993	4424 508842
Серикова	Римма	Елизаровна	17.06.1980	4052 247589
Яппаров	Валентин	Макарович	22.05.1967	4749 124011
Олейников	Константин	Венедиктович	11.05.1979	4979 352626
Лутугина	Дарья	Макаровна	19.07.1965	4372 481251
Головченко	Федот	Степанович	22.04.1972	4258 902784
Капишникова	Наталия	Васильевна	25.12.1995	4267 899930
Рудников	Илья	Егорович	07.02.1976	4622 910967
Пишенин	Виктор	Михаилович	23.01.1984	4578 675419
Галкина	Нина	Захаровна	28.03.1986	4119 223723
Другакова	Клара	Арсеньевна	04.02.1962	4562 508771
Морин	Илья	Игнатьевич	03.03.1995	4082 962325
Круглова	Лана	Лукьяновна	09.04.1990	4139 150287
Кручинкина	Альбина	Денисовна	27.01.1983	4210 322542
Никанорова	Екатерина	Всеволодовна	17.09.1964	4698 382699
Фотеев	Трофим	Григорьевич	18.03.1969	4433 991513
Баева	Иван	Юрьевич	03.01.1976	4711 135576
Чернышёв	Павел	Юринович	16.02.1969	4136 969927
Исламова	Ярослава	Константиновна	07.09.1981	4637 732012
Набокова	Оксана	Адамовна	26.03.1967	4796 741237
Ненашев	Семен	Даниилович	13.05.1982	4459 115344
Быстрова	Раиса	Семеновна	19.02.1995	4856 995558
Демидова	Анастасия	Гаврннловна	04.11.1976	4752 354253
Соломина	Марьямна	Константиновна	25.11.1961	4025 300202
Маркелов	Лаврентий	Максимоич	06.06.1980	4764 191984
Железкина	Нонна	Никитьевна	09.03.1984	4968 366347
Лагутина	Тамара	Федоровна	27.03.1962	4483 287069
Григолюк	Даниил	Феоктистович	17.02.1963	4822 505298
Бондарчук	Алексей	Игнатьевич	03.09.1995	4369 505616
Романенко	Серафима	Кирилловна	19.02.1994	4576 110973
Ячевский	Иннокентий	Иванович	12.12.1964	4717 822925
Шумилова	Альбина	Яковна	06.12.1980	4310 961814
Закревский	Адам	Даниилович	05.08.1976	4785 317002
Стрекалов	Аркадий	Давидович	25.02.1970	4795 443448
Янукович	Вячеслав	Арсеньевич	21.11.1990	4113 895183
Язин	Антон	Иванович	06.02.1987	4960 378902
Пушкарёв	Савва	Гаврннлович	23.04.1968	4565 469233
Караваева	Юлия	Федотовна	16.05.1967	4895 162461
Веселов	Кузьма	Филиппович	24.03.1969	4922 686872
Васильевых	Иван	Максимович	25.10.1981	4036 755551
Смышляева	Анна	Семеновна	10.12.1974	4957 456141
Якубовская	Татьяна	Степановна	11.04.1996	4888 745631
Машлыкин	Роман	Всеволодович	06.02.1962	4582 341837
Гурьянов	Константин	Васильевич	19.12.1981	4898 726722
Шапкина	Юлиана	Филипповна	14.04.1968	4098 556975
Заврагина	Алла	Акимовна	11.09.1990	4422 440447
Кизатова	Мария	Иннокентьевна	07.04.1988	4064 129596
Усилова	Елена	Афанасьевна	04.12.1964	4176 479135
Чупринина	Карина	Ивановна	25.04.1991	4936 571668
Мышкина	Галина	Егоровна	13.07.1979	4883 311088
Румянцев	Севастьян	Антонрвич	08.05.1989	4818 590588
Закруткин	Кирилл	Никитович	23.04.1986	4517 493501
Ягубова	Сюзанна	Прокопьевна	16.03.1968	4831 490705
Чендев	Павел	Трофимович	16.01.1993	4478 639279
Кандинский	Иван	Александрович	14.04.1980	4733 397608
Шишов	Савва	Степанович	11.10.1960	4497 218301
Филиппова	Марфа	Петровна	15.06.1980	4931 806909
Рафикова	Карина	Никандровна	10.09.1970	4072 104360
Никулаичева	Рада	Ильишна	14.09.1980	4576 245286
Квасков	Михаил	Нифонтович	19.08.1963	4112 644635
Горбунов	Георгий	Федорович	01.07.1967	4840 418408
Гальцева	Ева	Феоктистовна	16.06.1982	4451 882420
Колотушкин	Константин	Павлович	26.09.1973	4456 311170
Блаженова	Ася	Юрьевна	16.03.1987	4229 252352
Аронова	Валерия	Лукьяновна	01.10.1964	4118 652737
Шмелёв	Вениамин	Тимофеевич	14.08.1994	4459 549703
Лапидус	Степан	Иванович	24.02.1969	4251 377609
Ассоров	Гавриил	Валерьевич	06.03.1988	4160 539461
Охрема	Арсений	Федорович	01.03.1981	4359 994717
Никулаичев	Виталий	Иванович	06.01.1984	4894 910373
Кирдань	Виктор	Алексеевич	04.10.1972	4424 913612
Янчина	Вероника	Михаиловна	03.05.1975	4948 950857
Берёзкин	Федор	Львович	11.06.1975	4499 895260
Кондраков	Игнат	Иннокентиевич	09.06.1992	4182 546605
Громыко	Ольга	Тимофеевна	01.10.1966	4758 444823
Лагранская	Настасья	Николаевна	13.05.1979	4349 225825
Янушевская	Алиса	Александровна	27.06.1980	4588 979732
Левина	Нонна	Афанасьевна	10.04.1961	4329 880671
Левковича	Маргарита	Феоктистовна	16.04.1995	4045 441086
Сусляков	Данила	Кириллович	25.10.1966	4456 469683
Морозов	Никита	Давидович	23.07.1979	4617 689410
Курневич	Ефим	Емельянович	20.04.1991	4579 581721
Кручинкин	Михаил	Георгиевич	23.12.1978	4386 246287
Форопонов	Прохор	Тимофеевич	25.07.1967	4598 979474
Курчатова	Зинаида	Федоровна	21.07.1960	4519 804512
Ярыкина	Оксана	Саввановна	09.02.1993	4225 237408
Сучков	Ефим	Антонрвич	27.01.1967	4613 588695
Аносова	Любовь	Валентиновна	07.12.1985	4785 257579
Кярбер	Константин	Антонович	13.08.1976	4721 562814
Кабинов	Леонид	Витальевич	24.03.1990	4474 955239
Корбылева	Дарья	Никифоровна	23.05.1989	4027 832115
Рудакова	Алина	Николаевна	27.11.1960	4383 532534
Токарев	Павел	Маркович	13.03.1986	4710 988659
Зайков	Роман	Ростиславович	12.12.1981	4598 905917
Сарычева	Варвара	Гаврннловна	13.10.1993	4073 213236
Кутичев	Николай	Ираклиевич	11.12.1993	4681 427351
Барышникова	Ева	Егоровна	06.11.1964	4852 705828
Абоймова	Варвара	Никифоровна	14.08.1988	4446 190764
Андреев	Аркадий	Даниилович	09.08.1969	4324 463849
Антимонова	Елена	Емельяновна	26.07.1994	4948 921380
Маклакова	Афанасия	Ефимовна	24.11.1989	4721 736874
Кожухов	Кузьма	Степанович	16.02.1971	4823 113280
Устинова	Аполлинария	Гермоновна	16.11.1983	4836 914318
Хромова	Зоя	Даниловна	13.07.1996	4314 311357
Стегнова	Альбина	Тимофеевна	15.08.1983	4120 802597
Бобылева	Марфа	Ростиславовна	22.03.1996	4830 556816
Михно	Евгения	Нифонтовна	21.03.1968	4273 482792
Григорьева	София	Ефимовна	20.11.1973	4626 127199
Дресвянин	Константин	Антонрвич	12.05.1982	4720 885847
Маркин	Тимофей	Маркович	23.05.1975	4363 853327
Ивашева	Виктория	Кирилловна	12.10.1988	4586 370749
Елешев	Дмитрий	Аркадинович	05.06.1988	4819 443972
Богомазов	Юрий	Кириллович	24.02.1976	4545 606564
Яглинцев	Кирилл	Трофимович	12.12.1971	4063 194101
Локтева	Ася	Арсеньевна	16.07.1963	4343 799032
Ячменцева	Инна	Ивановна	05.10.1994	4913 214044
Расторгуев	Игнат	Викторович	24.04.1992	4161 777324
Янчин	Роман	Александрович	11.10.1962	4989 485743
Качурина	Настасья	Елизаровна	28.10.1962	4265 675512
Рыкова	Клавдия	Гермоновна	06.04.1996	4651 609055
Фамусов	Евгений	Сергеевич	16.08.1986	4253 198185
Ясюлевич	Василий	Сергеевич	18.03.1976	4730 717018
Адаксин	Яков	Севастьянович	21.06.1994	4816 945248
Луньков	Тимофей	Юлианович	14.02.1967	4576 746930
Зайцева	Анна	Петровна	23.11.1969	4941 970367
Закруткин	Георгий	Юрьевич	23.07.1992	4236 254359
Плеханов	Ефрем	Гаврннлович	01.05.1989	4493 537643
Шаповалова	Серафима	Тимофеевна	10.02.1979	4020 992825
Тарасов	Егор	Петрович	28.11.1975	4754 582431
Ратаева	Карина	Антоновна	21.03.1974	4958 815709
Митькин	Степан	Иванович	15.02.1960	4622 673692
Носатенко	Кира	Кирилловна	20.10.1966	4265 839109
Куксюк	Константин	Яковеевичевич	08.05.1992	4368 493218
Соломина	Василиса	Ивановна	22.06.1992	4522 370288
Машлыкин	Захар	Гаврннлович	28.01.1965	4666 553999
Епанчин	Тимофей	Прохорович	15.08.1960	4625 965919
Тихоненко	Валентин	Савванович	27.10.1979	4363 689157
Качаев	Сергей	Филиппович	03.12.1964	4453 123926
Углова	Альбина	Валерьевна	25.03.1989	4044 811228
Колотилов	Тарас	Валерьевич	25.09.1964	4125 607063
Бабичева	Нина	Себастьяновна	02.12.1981	4521 807690
Фролова	Лариса	Власовна	08.07.1993	4485 993643
Помелова	София	Михаиловна	05.08.1962	4898 934990
Маслюка	Маргарита	Никитьевна	09.03.1960	4582 721087
Гречко	Валерия	Павловна	10.05.1988	4773 126858
Яшина	Римма	Арсеньевна	17.10.1991	4741 846449
Опокина	Оксана	Феоктистовна	07.12.1981	4897 147356
Краснокутская	Раиса	Игнатевна	10.09.1982	4747 124382
Бабинова	Марьямна	Петровна	25.07.1996	4189 362034
Туржанский	Николай	Валентинович	15.08.1973	4538 254149
Сиянко	Герасим	Яковеевичевич	28.05.1987	4940 164659
Новомейская	Наталия	Марковна	14.07.1994	4379 591221
Панькив	Степан	Даниилович	17.02.1975	4897 967979
Ясаманов	Тимофей	Филиппович	19.02.1996	4761 849683
Белова	Лариса	Ефимовна	16.07.1972	4289 845407
Ядров	Ефрем	Феоктистович	04.03.1973	4386 896725
Ляпин	Константин	Яковлевич	26.03.1980	4249 514953
Лаер	София	Порфнрьевна	23.04.1981	4853 333520
Лямин	Максим	Павлович	01.03.1969	4182 276822
Чупова	Александра	Акимовна	11.07.1970	4544 417546
Пыжалов	Виктор	Федотович	02.01.1971	4312 225315
Козлитина	Елизавета	Прокопьевна	19.01.1996	4698 961349
Эзерина	Лариса	Валерьевна	24.10.1974	4219 344714
Нилов	Юрин	Михаилович	25.04.1989	4749 346552
Ледовская	Марианна	Кирилловна	11.05.1969	4077 789430
Казючиц	Сергей	Семенович	12.01.1969	4386 418135
Левкина	Полина	Трофимовна	12.12.1987	4836 337432
Эрдели	Мария	Саввановна	26.07.1969	4256 551865
Гусев	Юлиан	Афанасьевич	16.11.1991	4976 703225
Водолеев	Кирилл	Федорович	24.11.1980	4632 997240
Истлентьева	Клавдия	Леонтьевна	11.02.1985	4466 283395
Сонин	Ростислав	Серафимович	18.04.1961	4065 987558
Дружинина	Нонна	Гермоновна	07.02.1987	4232 865140
Куксилов	Давид	Константинович	02.04.1990	4964 680551
Аллилуев	Никита	Максимович	06.11.1973	4677 481295
Матвеева	Алла	Саввановна	11.09.1981	4992 295463
Ягафарова	Людмила	Саввановна	24.05.1981	4188 781390
Тучков	Серафим	Иванович	23.03.1984	4821 369305
Шверник	Марфа	Евгеньевна	02.06.1984	4022 684512
Чан	Дмитрий	Константинович	04.11.1983	4539 234920
Касатый	Алексей	Власович	24.05.1990	4078 852425
Ягафарова	Римма	Прохоровна	26.06.1974	4511 929112
Патрушев	Гавриил	Максимович	17.09.1964	4837 596557
Францева	Жанна	Алексеевна	22.12.1980	4187 994310
Шкловский	Павел	Валерьевич	01.03.1988	4762 498484
Январева	Елена	Михаиловна	09.02.1993	4889 154749
Нюнка	Николай	Валерианович	25.05.1960	4134 520176
Квартальнова	Ксения	Филипповна	28.08.1964	4218 473515
Лагошина	Дарья	Ефимовна	01.12.1964	4061 720929
Ведерников	Леонид	Алексеевич	11.09.1963	4836 753715
Шишкарёва	Альбина	Прохоровна	23.04.1989	4591 374515
Вихров	Роман	Маркович	10.08.1968	4546 281457
Кравкова	Нина	Кирилловна	01.07.1979	4490 544759
Щегельский	Дмитрий	Романович	16.03.1979	4580 315218
Ремизова	Наталия	Павловна	16.08.1986	4990 719307
Яблонева	Ирина	Ефимовна	02.07.1967	4320 129207
Карамзин	Егор	Серафимович	25.06.1969	4745 904149
Турчанинов	Максим	Себастьянович	17.10.1993	4120 587158
Невский	Федор	Севастьянович	12.02.1993	4496 438929
Фомичева	Татьяна	Леонтьевна	25.03.1996	4210 810994
Ковпак	Ника	Севастьяновна	03.11.1977	4239 804415
Филипова	Людмила	Яковна	03.08.1987	4341 435453
Конак	Дарья	Семеновна	07.08.1982	4942 185237
Ненашева	Светлана	Тимофеевна	11.07.1982	4793 396293
Богатов	Валерий	Савванович	15.06.1974	4914 278585
Федосеева	Надежда	Кирилловна	22.06.1986	4550 132013
Лагранская	Марина	Денисовна	23.04.1990	4477 482412
Аникеев	Максим	Евгениевич	22.03.1991	4522 778402
Бочарова	Елена	Федоровна	01.06.1963	4594 820379
Эпингер	Алена	Егоровна	11.05.1977	4884 218758
Цельнер	Ярослава	Ираклиевна	16.09.1986	4611 818290
Островерх	Алла	Севастьяновна	15.09.1976	4198 575378
Толмачёв	Юрий	Максимоич	09.06.1970	4387 811488
Кушнарёв	Филипп	Савванович	24.07.1963	4431 588704
Ажикелямова	Клавдия	Ивановна	19.10.1962	4949 782970
Яблонов	Петр	Климентьевич	14.12.1963	4145 798773
Лапшин	Ефрем	Евгениевич	16.01.1991	4671 236255
Чернышев	Виталий	Егорович	26.11.1992	4121 692303
Вишневская	Жанна	Всеволодовна	07.05.1992	4940 882297
Шилов	Тарас	Геннадьевич	19.03.1976	4837 564591
Игнатенко	Людмила	Васильевна	11.04.1984	4059 725894
Бандуркина	Антонина	Ефимовна	26.08.1966	4053 756475
Абоимов	Яков	Емельянович	01.05.1967	4080 592784
Янушковский	Адам	Григорьевич	05.02.1988	4017 913468
Чибисов	Юрий	Петрович	28.07.1961	4011 185079
Лачков	Степан	Акимович	08.03.1978	4754 905030
Перевёртова	Татьяна	Севастьяновна	04.03.1981	4386 265423
Окулов	Данила	Севастьянович	10.02.1996	4134 739693
Табернакулова	Елена	Александровна	25.10.1978	4368 977421
Зуева	Ульяна	Саввановна	11.04.1996	4329 369047
Гудков	Венедикт	Денисович	13.04.1989	4217 609907
Кощеев	Леонтий	Викторович	18.08.1986	4348 697664
Калашникова	Альбина	Герасимовна	13.08.1964	4521 252628
Шадрин	Алексей	Григорьевич	07.02.1963	4143 239825
Сычкин	Игнатий	Давидович	23.03.1992	4610 727069
Косинова	Елизавета	Тимофеевна	21.09.1986	4793 674296
Петровская	Елена	Ивановна	05.06.1985	4761 184584
Яздовский	Севастьян	Сергеевич	19.04.1962	4914 473838
Сотов	Филипп	Афанасьевич	28.07.1983	4834 632411
Денисова	Таисия	Семеновна	01.06.1965	4176 957023
Янкелевич	Серафим	Никифорович	08.08.1966	4218 554255
Язвецова	Ника	Филипповна	25.02.1982	4298 625771
Астрединова	Василиса	Федоровна	05.02.1979	4618 521058
Масмехова	Алла	Константиновна	26.02.1967	4353 838670
Карасёв	Константин	Адамович	25.11.1964	4240 676446
Елышева	Ева	Григориевна	18.01.1986	4542 560195
Язвецова	Лариса	Власовна	06.03.1977	4973 143713
Харьков	Василий	Игнатьевич	11.06.1965	4510 483379
Михальченко	Жанна	Геннадьевна	09.11.1961	4530 171588
Низовкин	Филипп	Ильич	07.12.1982	4524 105435
Созонова	Валентина	Серафимовна	03.06.1964	4226 151610
Зубкова	Алиса	Никифоровна	04.03.1966	4038 601545
Ильина	Людмила	Никифоровна	26.12.1960	4023 440760
Архаткин	Степан	Серафимович	19.05.1961	4091 798188
Бондарева	Маргарита	Никандровна	17.03.1982	4124 335674
Шамякина	Нонна	Наумовна	02.10.1972	4132 365476
Маслак	Никита	Евгениевич	08.06.1988	4155 764197
Шаталова	Марьямна	Антоновна	05.09.1976	4411 575360
Машира	Ирина	Дмитриевна	08.07.1988	4356 430210
Водопьянов	Илья	Ефимович	28.02.1985	4378 560552
Ковалев	Александр	Нифонтович	25.03.1970	4773 770954
Богоносцева	Евгения	Никитьевна	28.05.1967	4539 466590
Буланова	Екатерина	Трофимовна	26.03.1970	4419 227160
Уицкая	Юлиана	Адамовна	11.03.1994	4791 889701
Кэбин	Тарас	Георгиевич	26.03.1989	4477 725601
Каргина	Юлия	Кирилловна	21.03.1987	4479 983924
Киреев	Степан	Артемович	23.11.1963	4486 388296
Форофонтов	Филипп	Георгиевич	17.09.1994	4175 295975
Луньков	Семен	Юринович	04.03.1971	4697 229486
Каштанов	Егор	Артемович	19.10.1960	4480 938269
Ряполова	Вероника	Леонидовна	14.05.1962	4459 562523
Краевич	Константин	Николаевич	16.03.1964	4840 721413
Пересторонин	Давид	Федорович	16.06.1974	4041 253834
Гуськов	Севастьян	Алексеевич	20.01.1961	4498 958757
Сабанцева	Анфиса	Валериановна	22.07.1981	4596 777548
Яшуков	Марк	Валерьевич	22.04.1968	4720 495912
Янзинова	Алена	Тарасовна	17.04.1988	4020 374551
Бобкова	Евгения	Николаевна	15.06.1994	4815 332736
Бокарёва	Афанасия	Ильиновна	18.08.1971	4517 659429
Терещенко	Юлиана	Прокопьевна	16.05.1978	4370 571949
Ярцин	Савва	Порфирьевич	23.02.1995	4211 429500
Лимонов	Виктор	Прокльев	13.03.1989	4045 216329
Набережная	Валентина	Николаевна	22.07.1962	4821 911192
Валеев	Прохор	Себастьянович	24.01.1994	4751 524702
Яковленко	Клара	Антоновна	04.07.1961	4622 654325
Сахарова	Лана	Павловна	15.02.1978	4254 140550
Ломоносова	Лана	Викторовна	11.12.1991	4137 910408
Братцева	Арина	Петровна	20.08.1996	4084 650674
Бочко	Семен	Семенович	14.08.1985	4668 309356
Буковски	Савва	Степанович	08.07.1966	4191 606013
Набутова	Римма	Филипповна	15.02.1990	4294 798947
Колодезев	Евгений	Севастьянович	25.10.1991	4518 535832
Любов	Семен	Федорович	17.12.1961	4784 128237
Сухоруков	Юлиан	Климентьевич	25.01.1960	4035 572300
Едемский	Адам	Тимофеевич	20.10.1972	4466 401886
Таганцева	Карина	Петровна	06.08.1984	4749 937705
Бойков	Афанасий	Кузьмич	14.11.1971	4928 591708
Чиркаш	Даниил	Геннадьевич	27.06.1972	4099 833964
Мешкова	Анфиса	Трофимовна	22.05.1962	4020 924109
Панюшкина	Дарья	Саввановна	10.02.1978	4353 874338
Дубинкина	Виктория	Леонтьевна	13.05.1966	4076 996991
Коновалов	Георгий	Семенович	09.09.1991	4825 918893
Козловская	Елизавета	Максимовна	02.03.1970	4196 378727
Анреп	Алексей	Прокопьевич	07.07.1994	4486 621722
Ягубов	Филипп	Геннадьевич	26.04.1962	4456 189349
Шайна	Алиса	Прохоровна	01.05.1965	4379 119503
Томсин	Даниил	Васильевич	13.03.1993	4515 722631
